,ID,START_STEP,END_STEP,START_TIME,END_TIME,TOTAL_TIME
-,83e90160-a2b5-48a8-87da-4ed964e99c4f,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:54:02.585,2020-12-22 06:55:12.939,0 days 00:01:10.354000
-,51833a80-a891-4774-bd4d-1e5687799918,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:03:57.460,2020-12-22 07:04:50.976,0 days 00:00:53.516000
-,966d2563-6d9a-44ff-b42b-3d9c208defcb,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:02:17.968,2020-12-22 07:03:53.718,0 days 00:01:35.750000
-,bd079a4f-9a23-4328-8aaa-f11d46327bc2,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:11.471,2020-12-22 07:00:40.486,0 days 00:01:29.015000
-,d054c821-bc37-4c71-b093-3a51825273a1,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:02:07.786,2020-12-22 07:03:36.436,0 days 00:01:28.650000
-,ac589f1c-0e0b-4fce-8f47-a9fa046bf2b4,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:52:56.292,2020-12-22 06:55:13.099,0 days 00:02:16.807000
-,c925bbb7-4a59-4103-9f44-f4512018c28c,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:53:43.129,2020-12-22 06:55:17.666,0 days 00:01:34.537000
-,32ac9fa8-fe2a-45ce-806f-778a25e232a8,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:55.276,2020-12-22 07:02:09.904,0 days 00:02:14.628000
-,cfe3fde0-30a9-4c42-8711-ad69339d7c5b,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:06:39.816,2020-12-22 07:07:57.105,0 days 00:01:17.289000
-,a75f4b56-c117-49ae-b89e-154f6b4855e6,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:56:23.812,2020-12-22 06:57:58.684,0 days 00:01:34.872000
-,ba8d7284-ee2c-4785-820f-1791decb8588,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:05:22.744,2020-12-22 07:08:07.118,0 days 00:02:44.374000
-,3f624a0d-ea38-4af9-9b0a-ca051baf5ad8,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:04:27.013,2020-12-22 07:05:19.112,0 days 00:00:52.099000
-,3f8193a7-7614-4539-9729-702797ae2698,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:03:17.537,2020-12-22 07:04:27.829,0 days 00:01:10.292000
-,0ef28e68-8972-467f-8887-88aef9e858f8,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:04:35.799,2020-12-22 07:05:39.486,0 days 00:01:03.687000
-,baed5935-7b49-4c07-bda8-5c3ffb12ad43,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:00:21.851,2020-12-22 07:01:51.436,0 days 00:01:29.585000
-,a0805662-66ef-40b5-8ced-459d54d4b87b,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:03:18.754,2020-12-22 07:04:33.194,0 days 00:01:14.440000
-,b08d267d-7fc4-4d64-bd85-30c729a7e44e,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:58:52.907,2020-12-22 07:00:36.368,0 days 00:01:43.461000
-,40adae9a-399d-4b3d-964f-cd2a12ef332b,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:03:35.121,2020-12-22 07:04:41.811,0 days 00:01:06.690000
-,e9ff91b2-745a-4826-b3d5-7fc1330e62a3,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:02:58.280,2020-12-22 07:04:24.239,0 days 00:01:25.959000
-,89d56d0b-a96b-4272-a5a9-92fc7015f31d,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:00:16.531,2020-12-22 07:01:47.858,0 days 00:01:31.327000
-,f6a948ab-4c79-4fc8-ab62-2d45587373fc,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:01:48.591,2020-12-22 07:02:57.769,0 days 00:01:09.178000
-,32fc5cd3-e118-4492-9fe8-f9d61c28a417,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:55:19.006,2020-12-22 06:56:39.698,0 days 00:01:20.692000
-,30d599bd-e1d2-4d11-ab8a-748d21c96d1a,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:02:10.506,2020-12-22 07:03:55.772,0 days 00:01:45.266000
-,6b809c5a-c114-4db0-a774-e3a00810fa5d,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:56:58.018,2020-12-22 06:58:26.801,0 days 00:01:28.783000
-,f307e133-9d0c-4345-a572-709f372f599f,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:57:25.866,2020-12-22 06:58:39.517,0 days 00:01:13.651000
-,b11ef728-5159-4137-b279-1ab89836ce3d,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:04:24.169,2020-12-22 07:05:19.484,0 days 00:00:55.315000
-,b6e5e9e2-4dd6-4793-be45-91cd40394a9b,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:52:58.398,2020-12-22 06:54:22.290,0 days 00:01:23.892000
-,02ef35e6-c93d-4bf7-ab43-1fa3f1caa381,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:56:37.504,2020-12-22 06:57:25.370,0 days 00:00:47.866000
-,15ca668c-1beb-4e9a-b555-0e8ba183b006,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:01:52.233,2020-12-22 07:03:18.044,0 days 00:01:25.811000
-,163871f5-eea5-409b-b91b-e3d8d7245f15,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:57:00.205,2020-12-22 06:58:07.671,0 days 00:01:07.466000
-,db8545e0-bd9d-4a32-a438-cac64b3e1387,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:59:56.847,2020-12-22 07:01:44.515,0 days 00:01:47.668000
-,06c2226a-b308-4150-a9a7-395d83d1a181,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:58:42.179,2020-12-22 06:59:54.271,0 days 00:01:12.092000
-,247cfa15-3c3b-40f3-a856-796182ca975e,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:05:20.092,2020-12-22 07:07:50.691,0 days 00:02:30.599000
-,579f2606-700b-4297-869f-d684561902fe,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:04:44.155,2020-12-22 07:05:39.853,0 days 00:00:55.698000
-,a5a2e583-b774-408a-91f2-e80eff9ae74f,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:05:40.798,2020-12-22 07:07:24.221,0 days 00:01:43.423000
-,9e10a8c3-3acf-45df-a65a-1af362b76390,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 06:58:29.518,2020-12-22 06:59:26.591,0 days 00:00:57.073000
-,6f7cd608-5ab5-4be8-ac83-ac6c4c8d4b4f,PRE_PROCESSING,PIPELINE_FINISHED,2020-12-22 07:04:34.254,2020-12-22 07:05:21.452,0 days 00:00:47.198000
